,gameDate,possessionTeam,defensiveTeam,defensiveTeamQt,ballCarrierDisplayName,heightInCm,weightInKg,position,ballCarrierAge,quarter,down,gameClock,gameClockInSeconds,yardsToGo,preSnapHomeScore,preSnapVisitorScore,signedScoreDiff,absoluteYardlineNumber,offenseFormation,offenseFormationQt,defendersInTheBox,prePenaltyPlayResult,playNullifiedByPenalty,playResult
0,10/09/2022,ATL,TB,30,Parker Hesse,190.5,118.39,TE,27.0,4,1,7:52,472,10,21,7,-14,69,SHOTGUN,5,7.0,9,N,9
1,09/11/2022,PIT,CIN,7,Chase Claypool,193.0,102.97,WR,24.0,4,1,7:38,458,10,14,20,6,76,SHOTGUN,5,7.0,3,N,3
2,09/11/2022,LV,LAC,18,Darren Waller,198.1,115.67,TE,29.0,2,2,8:57,537,5,10,3,-7,40,I_FORM,2,6.0,15,N,15
3,10/02/2022,DEN,LV,19,Mike Boone,177.8,92.99,RB,27.0,3,2,13:12,792,10,19,16,-3,47,SINGLEBACK,6,6.0,7,N,7
4,09/19/2022,BUF,TEN,31,Devin Singletary,170.2,92.08,RB,25.0,2,1,8:33,513,10,7,7,0,75,I_FORM,2,7.0,3,N,3
5,10/30/2022,ATL,CAR,5,Tyler Allgeier,180.3,99.79,RB,,3,3,10:14,614,17,14,13,1,28,SHOTGUN,5,5.0,5,N,5
6,10/02/2022,TEN,IND,14,Ryan Tannehill,193.0,93.89,QB,34.0,4,3,13:31,811,5,17,24,7,85,EMPTY,1,4.0,3,N,3
7,10/23/2022,SF,KC,16,Jeffery Wilson,182.9,88.0,RB,26.0,1,1,15:00,900,10,0,0,0,85,SINGLEBACK,6,7.0,7,N,7
8,10/23/2022,KC,SF,29,Jerick McKinnon,175.3,92.99,RB,30.0,2,1,10:31,631,10,13,7,-6,70,SHOTGUN,5,6.0,9,N,9
9,09/25/2022,SEA,ATL,2,Rashaad Penny,180.3,99.79,RB,26.0,3,1,0:35,35,10,23,27,-4,85,SHOTGUN,5,7.0,3,N,3
10,09/11/2022,GB,MIN,21,A.J. Dillon,185.4,113.4,RB,24.0,3,3,13:44,824,1,17,0,-17,37,SHOTGUN,5,6.0,3,N,3
11,11/06/2022,NYJ,BUF,4,Zach Wilson,188.0,94.35,QB,,3,3,4:47,287,3,10,14,-4,22,SHOTGUN,5,6.0,5,N,5
12,09/11/2022,SF,CHI,6,Ross Dwelley,195.6,108.86,TE,27.0,4,3,11:55,715,10,13,10,-3,35,SHOTGUN,5,6.0,11,N,11
13,10/30/2022,LA,SF,29,Darrell Henderson,172.7,90.72,RB,25.0,4,3,5:35,335,16,14,31,-17,95,SHOTGUN,5,5.0,6,N,6
14,10/23/2022,JAX,NYG,24,Trevor Lawrence,198.1,99.79,QB,,4,4,11:30,690,1,17,13,4,90,I_FORM,2,9.0,0,N,0
15,10/02/2022,DEN,LV,19,Courtland Sutton,193.0,97.98,WR,26.0,2,3,8:50,530,16,10,7,-3,28,SHOTGUN,5,6.0,9,N,9
16,10/23/2022,DAL,DET,11,CeeDee Lamb,188.0,85.73,WR,23.0,3,2,13:04,784,9,3,6,-3,91,SHOTGUN,5,7.0,10,N,10
17,11/06/2022,DET,GB,12,Kalif Raymond,172.7,82.55,WR,28.0,4,2,5:02,302,9,15,9,6,73,SHOTGUN,5,6.0,8,N,8
18,10/30/2022,CAR,ATL,2,D'Onta Foreman,185.4,105.69,RB,26.0,2,3,4:56,296,2,7,3,-4,12,SHOTGUN,5,8.0,2,N,2
19,10/02/2022,GB,NE,22,Allen Lazard,195.6,102.97,WR,26.0,2,1,0:07,7,10,7,10,-3,45,SHOTGUN,5,3.0,6,N,6
20,10/09/2022,CAR,SF,29,Christian McCaffrey,180.3,92.99,RB,26.0,3,1,6:24,384,10,9,24,-15,60,SINGLEBACK,6,7.0,2,N,2
21,10/23/2022,IND,TEN,31,Michael Pittman,193.0,99.79,WR,25.0,3,3,12:35,755,15,13,0,-13,77,SHOTGUN,5,6.0,7,N,7
22,09/25/2022,MIN,DET,11,Dalvin Cook,177.8,95.25,RB,27.0,1,1,11:03,663,10,0,0,0,72,I_FORM,2,7.0,7,N,7
23,10/16/2022,CLE,NE,22,Nick Chubb,180.3,102.06,RB,26.0,1,1,7:27,447,10,0,3,-3,85,SHOTGUN,5,7.0,8,N,8
24,10/23/2022,WAS,GB,12,Brian Robinson,185.4,103.42,RB,,2,1,13:23,803,10,3,14,-11,27,SHOTGUN,5,6.0,2,N,2
25,09/11/2022,WAS,JAX,15,Antonio Gibson,188.0,100.24,RB,24.0,2,1,2:50,170,10,14,3,11,83,SINGLEBACK,6,7.0,8,N,8
26,10/16/2022,CIN,NO,23,Tyler Boyd,188.0,92.08,WR,27.0,1,1,6:40,400,10,7,0,-7,35,SHOTGUN,5,7.0,6,N,6
27,10/09/2022,ATL,TB,30,Caleb Huntley,177.8,103.87,RB,,1,1,4:52,292,10,0,0,0,25,PISTOL,4,7.0,-1,N,-1
28,09/11/2022,BAL,NYJ,25,Kenyan Drake,185.4,95.71,RB,28.0,4,1,4:17,257,10,3,24,21,103,PISTOL,4,7.0,12,Y,-4
29,10/09/2022,TEN,WAS,32,Derrick Henry,190.5,112.04,RB,28.0,2,1,13:56,836,10,10,7,-3,85,SINGLEBACK,6,7.0,5,N,5
30,10/02/2022,PHI,JAX,15,Miles Sanders,180.3,95.71,RB,25.0,2,3,1:15,75,2,14,14,0,23,PISTOL,4,7.0,1,N,1
31,10/02/2022,DET,SEA,28,Justin Jackson,182.9,90.72,RB,26.0,1,2,3:51,231,6,6,14,-8,78,I_FORM,2,8.0,3,N,3
32,10/09/2022,GB,NYG,24,Tyler Davis,193.0,113.4,TE,25.0,1,1,9:28,568,10,3,0,3,82,SINGLEBACK,6,6.0,-3,N,-3
33,10/16/2022,TB,PIT,27,Leonard Fournette,182.9,103.42,RB,27.0,4,1,9:48,588,10,20,12,-8,37,SHOTGUN,5,5.0,1,N,1
34,10/09/2022,BAL,CIN,7,James Proche,182.9,87.54,WR,26.0,2,1,3:47,227,10,10,7,3,73,SHOTGUN,5,6.0,7,N,7
35,10/02/2022,BAL,BUF,4,Justice Hill,177.8,90.72,RB,24.0,2,3,6:42,402,2,17,3,14,41,I_FORM,2,6.0,2,N,2
36,09/18/2022,WAS,DET,11,Curtis Samuel,180.3,88.45,WR,26.0,1,3,7:10,430,17,3,0,-3,101,EMPTY,1,4.0,8,N,8
37,10/09/2022,GB,NYG,24,A.J. Dillon,185.4,113.4,RB,24.0,1,2,12:48,768,3,0,0,0,42,SHOTGUN,5,7.0,5,N,5
38,10/16/2022,JAX,IND,14,Travis Etienne,177.8,90.72,RB,,1,1,11:10,670,10,0,0,0,85,SINGLEBACK,6,7.0,48,N,48
